# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_INVALID_FIELD_ELEMENT	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_G2MULTIEXP_POINT_NOT_ON_CURVE	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSG2MULTIEXP_BLS_PAIRING_G2_NOT_IN_CORRECT_SUBGROUP	FAILED	600	-	lux:bls12381G2AddConfig: invalid input
R	FAIL_BLSMAPG1_BLS_MAPG1_EMPTY_INPUT	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	FAIL_BLSMAPG1_BLS_MAPG1_SHORT_INPUT	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	FAIL_BLSMAPG1_BLS_MAPG1_LARGE_INPUT	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	FAIL_BLSMAPG1_BLS_MAPG1_TOP_BYTES	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	FAIL_BLSMAPG1_BLS_INVALID_FQ_ELEMENT	FAILED	0	-	lux:bls12381G2MSMConfig: invalid input
R	FAIL_BLSMAPG2_BLS_MAPG2_EMPTY_INPUT	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	FAIL_BLSMAPG2_BLS_MAPG2_SHORT_INPUT	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	FAIL_BLSMAPG2_BLS_MAPG2_LONG_INPUT	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	FAIL_BLSMAPG2_BLS_MAPG2_TOP_BYTES	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
